EEGNet INTRA FT (progresivo) — 2025-10-13 07:52:03
k-fold por sujeto: 5

subject | acc_mean | f1_macro_mean | k
------------------------------------------------------------
S001 | 0.5556 | 0.5429 | 5
S002 | 0.5222 | 0.4933 | 5
S003 | 0.6333 | 0.5857 | 5
S004 | 0.6333 | 0.6308 | 5
S005 | 0.4222 | 0.3994 | 5
S006 | 0.5778 | 0.5429 | 5
S007 | 0.7111 | 0.6911 | 5
S008 | 0.4333 | 0.4035 | 5
S009 | 0.5444 | 0.5360 | 5
S010 | 0.4667 | 0.4511 | 5
S011 | 0.5333 | 0.5249 | 5
S012 | 0.5444 | 0.5311 | 5
S013 | 0.4333 | 0.4210 | 5
S014 | 0.4222 | 0.3862 | 5
S015 | 0.7333 | 0.7199 | 5
S016 | 0.4667 | 0.4416 | 5
S017 | 0.4778 | 0.4468 | 5
S018 | 0.7333 | 0.7192 | 5
S019 | 0.6222 | 0.6139 | 5
S020 | 0.6333 | 0.6290 | 5
S021 | 0.4222 | 0.3967 | 5
S022 | 0.7444 | 0.7342 | 5
S023 | 0.5333 | 0.4990 | 5
S024 | 0.4889 | 0.4707 | 5
S025 | 0.3333 | 0.3091 | 5
S026 | 0.3778 | 0.3621 | 5
S027 | 0.4778 | 0.4689 | 5
S028 | 0.5000 | 0.4747 | 5
S029 | 0.4333 | 0.4124 | 5
S030 | 0.5778 | 0.5656 | 5
S031 | 0.5444 | 0.5098 | 5
S032 | 0.6444 | 0.6216 | 5
S033 | 0.5556 | 0.5531 | 5
S034 | 0.3889 | 0.3878 | 5
S035 | 0.6222 | 0.5798 | 5
S036 | 0.6667 | 0.6602 | 5
S037 | 0.4333 | 0.3991 | 5
S039 | 0.2444 | 0.2120 | 5
S040 | 0.4667 | 0.4353 | 5
S041 | 0.5111 | 0.5216 | 5
S042 | 0.5000 | 0.4918 | 5
S043 | 0.5444 | 0.5094 | 5
S044 | 0.5000 | 0.4718 | 5
S045 | 0.5222 | 0.5120 | 5
S046 | 0.4222 | 0.3991 | 5
S047 | 0.4333 | 0.3980 | 5
S048 | 0.6000 | 0.5812 | 5
S049 | 0.3778 | 0.3371 | 5
S050 | 0.5000 | 0.4476 | 5
S051 | 0.5778 | 0.5649 | 5
S052 | 0.4222 | 0.3936 | 5
S053 | 0.5889 | 0.5730 | 5
S054 | 0.5778 | 0.5451 | 5
S055 | 0.6222 | 0.6189 | 5
S056 | 0.4556 | 0.4393 | 5
S057 | 0.6333 | 0.6172 | 5
S058 | 0.6222 | 0.6155 | 5
S059 | 0.2889 | 0.2805 | 5
S060 | 0.5000 | 0.4772 | 5
S061 | 0.6556 | 0.6426 | 5
S062 | 0.5222 | 0.4770 | 5
S063 | 0.4000 | 0.3651 | 5
S064 | 0.5222 | 0.4719 | 5
S065 | 0.5556 | 0.5274 | 5
S066 | 0.3333 | 0.3023 | 5
S067 | 0.4111 | 0.3917 | 5
S068 | 0.4222 | 0.3961 | 5
S069 | 0.4111 | 0.4126 | 5
S070 | 0.7333 | 0.7304 | 5
S071 | 0.5556 | 0.5367 | 5
S072 | 0.5667 | 0.5430 | 5
S073 | 0.4889 | 0.4671 | 5
S074 | 0.4000 | 0.3703 | 5
S075 | 0.4222 | 0.3924 | 5
S076 | 0.3111 | 0.2940 | 5
S077 | 0.3222 | 0.2997 | 5
S078 | 0.3778 | 0.3846 | 5
S079 | 0.4556 | 0.4350 | 5
S080 | 0.4000 | 0.3622 | 5
S081 | 0.5556 | 0.5479 | 5
S082 | 0.5444 | 0.5335 | 5
S083 | 0.3000 | 0.2929 | 5
S084 | 0.4111 | 0.3861 | 5
S085 | 0.5333 | 0.5151 | 5
S086 | 0.7444 | 0.7314 | 5
S087 | 0.3111 | 0.2966 | 5
S090 | 0.5333 | 0.5092 | 5
S091 | 0.5333 | 0.5192 | 5
S093 | 0.4444 | 0.4266 | 5
S094 | 0.5444 | 0.5208 | 5
S095 | 0.2667 | 0.2582 | 5
S096 | 0.5889 | 0.5814 | 5
S097 | 0.4333 | 0.4096 | 5
S098 | 0.4556 | 0.4306 | 5
S099 | 0.3889 | 0.3811 | 5
S101 | 0.5111 | 0.4904 | 5
S102 | 0.5778 | 0.5582 | 5
S103 | 0.4667 | 0.4541 | 5
S105 | 0.6667 | 0.6425 | 5
S106 | 0.3889 | 0.3724 | 5
S107 | 0.3667 | 0.3573 | 5
S108 | 0.6111 | 0.5973 | 5
S109 | 0.3778 | 0.3553 | 5
GLOBAL | 0.5008 | 0.4808 | 5

GLOBAL:
ACC=0.501±0.112 | F1m=0.481±0.114
